Year,US_NC,US_CD,US_ZC50,Global_NC,Global_CD,Global_ZC50,Texas_NC,Texas_CD,Texas_ZC50,Washington_NC,Washington_CD,Washington_ZC50,Virginia_NC,Virginia_CD,Virginia_ZC50,California_NC,California_CD,California_ZC50
2017,471,471,471,521.9,521.9,521.9,550,550,550,67,67,67,485,485,485,274,274,274
2018,497,497,497,518.41,518.41,518.41,501,501,501,95,95,95,478,478,478,272,272,272
2019,457,457,457,505.47,505.47,505.47,467,467,467,115,115,115,456,456,456,255,255,255
2020,428,428,428,491.97,491.97,491.97,434,434,434,67,67,67,422,422,422,270,270,270
2021,442.1,442.1,442.1,494.7,494.7,494.7,426.29,426.29,426.29,90.01,90.01,90.01,442.56,442.56,442.56,275.19,275.19,275.19
2022,429.64,429.64,429.64,489.74,489.74,489.74,404,404,404,86.04,86.04,86.04,431.47,431.47,431.47,264.07,264.07,264.07
2023,409.81,409.81,409.81,484.4,484.4,484.4,386.95,386.95,386.95,119.86,119.86,119.86,398.14,398.14,398.14,261.29,261.29,261.29
2024,400.2,400.2,400.2,473.05,473.05,473.05,369.89,369.89,369.89,106.3,106.3,106.3,400.21,400.21,400.21,227.14,227.14,227.14
2025,400.2,388.3,384.81,473.05,467.64,454.86,369.89,333.76,355.66,106.3,111.251071428571,102.211538461537,400.21,383.144285714286,384.817307692309,227.14,243.630714285714,218.403846153848
2026,400.2,376.4,369.42,473.05,461.02,436.66,369.89,309.62,341.44,106.3,115.245476190476,98.123076923077,400.21,370.693571428571,369.424615384614,227.14,239.473928571429,209.667692307692
2027,400.2,364.5,354.02,473.05,454.4,418.47,369.89,285.48,327.21,106.3,119.239880952381,94.0346153846149,400.21,358.242857142857,354.031923076924,227.14,235.317142857143,200.931538461537
2028,400.2,352.6,338.63,473.05,447.77,400.27,369.89,261.34,312.98,106.3,123.234285714286,89.9461538461528,400.21,345.792142857143,338.639230769229,227.14,231.160357142857,192.195384615385
2029,400.2,340.7,323.24,473.05,441.15,382.08,369.89,237.2,298.76,106.3,127.228690476191,85.8576923076907,400.21,333.341428571429,323.246538461539,227.14,227.003571428571,183.459230769229
2030,400.2,328.8,307.85,473.05,434.52,363.88,369.89,213.06,284.53,106.3,131.223095238095,81.7692307692305,400.21,320.890714285714,307.853846153845,227.14,222.846785714286,174.723076923077
